Make,Model,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Honda,CR-V,European Auto Gallery,9,9,8,13,0.012123014484640683,0.013457556935817806,172.14285714285714,0.005809128630705394
Honda,CR-V,Lallier Honda,9,9,7,11,0.0006822475683996921,0.011387163561076604,178.4,0.005605381165919282
Honda,CR-V,Haldimand Motors LTD,6,3,1,11,0.003463718424183052,0.011387163561076604,125.625,0.007960199004975124
Honda,CR-V,Harmony Auto Sales Ltd - Harmony Honda,6,6,6,11,0.0010146245889021063,0.011387163561076604,196.0909090909091,0.0050996754751970325
Honda,CR-V,583455 Saskatchewan Ltd - Triple Seven Chrysler,5,5,5,10,0.002746483800993632,0.010351966873706004,98.66666666666667,0.010135135135135134
Honda,CR-V,Autocorrect Motors Corp.,4,4,4,10,0.001924288013435029,0.010351966873706004,139.0,0.007194244604316547
Honda,CR-V,Autoyou Sales,7,5,3,10,0.0004198446574767336,0.010351966873706004,178.0,0.0056179775280898875
Honda,CR-V,Go Auto Wholesale - AB,8,8,3,9,0.005283045273248898,0.009316770186335404,171.25,0.00583941605839416
Honda,CR-V,Dilawri Chrysler Dodge Jeep,9,9,8,9,0.0019767685956196207,0.009316770186335404,173.57142857142858,0.005761316872427983
Honda,CR-V,Demirci Auto,6,6,1,9,0.002484080890070674,0.009316770186335404,200.625,0.004984423676012461
Honda,CR-V,Tiger Auto Sales,2,1,1,9,0.0013295080820096565,0.009316770186335404,236.2,0.004233700254022015
Honda,CR-V,Logan Motors,3,3,3,8,0.00043733818487159753,0.008281573498964804,136.375,0.007332722273143905
Honda,CR-V,Sukhi Bath Motors,7,7,7,7,0.003201315513260094,0.007246376811594203,227.75,0.0043907793633369925
Honda,CR-V,9391-2384 Quebec Inc,1,1,1,7,0.0013644951367993842,0.007246376811594203,174.2,0.0057405281285878304
