,Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
140,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.012195121951219513,107.0,0.009345794392523364
141,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Steele Ford Lincoln,0,0,0,1,8.74676369743195e-05,0.012195121951219513,155.0,0.0064516129032258064
142,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Style Auto - 9052-5585 Quebec Inc,0,0,0,1,0.0018018333216709818,0.012195121951219513,240.0,0.004166666666666667
143,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Toronto Auto Group,0,0,0,1,0.002099223287383668,0.012195121951219513,185.0,0.005405405405405406
144,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Vickar Chevrolet,0,0,0,1,0.0005947799314253726,0.012195121951219513,105.0,0.009523809523809525
145,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Wallace Automobiles,0,0,0,1,0.0009096634245329228,0.012195121951219513,158.0,0.006329113924050633
146,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Overdrive Motors Inc,0,0,0,1,0.0011895598628507453,0.012195121951219513,129.0,0.007751937984496124
147,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,McNaught Buick Cadillac GMC,0,0,0,1,0.0008221957875586034,0.012195121951219513,162.0,0.006172839506172839
148,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Brown's Volkswagen - Sherwood AutoHaus Ltd,0,0,0,1,0.0007697152053740117,0.012195121951219513,116.0,0.008620689655172414
149,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Mark Wilson's Better Used Cars,1,0,0,1,0.003393744314603597,0.012195121951219513,,
150,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Kaylor Auto Group,1,1,0,1,0.0015394304107480233,0.012195121951219513,,
151,Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Go Auto Wholesale - AB,0,0,0,1,0.005283045273248898,0.012195121951219513,147.0,0.006802721088435374
152,Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Bridge Valley,7,3,2,16,0.021954376880554197,0.1391304347826087,135.2,0.007396449704142012
